"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7"
"OTUD7B","0.000970","0.539","0.201","6","hsa-miR-1229-3p","hsa-miR-371b-5p","hsa-miR-4282","hsa-miR-7703","hsa-miR-6847-3p","hsa-miR-7854-3p",""
"P2RY2","0.000571","0.539","0.0575","3","hsa-miR-1229-3p","hsa-miR-6802-3p","hsa-miR-412-3p","","","",""
"PIGO","0.000653","0.539","0.187","6","hsa-miR-371b-5p","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-1227-5p","hsa-miR-6802-3p","hsa-miR-412-3p",""
"SLC4A4","0.000967","0.539","0.0682","3","hsa-miR-5585-3p","hsa-miR-4722-3p","hsa-miR-6829-3p","","","",""
"SRARP","0.000997","0.539","0.116","4","hsa-miR-5587-5p","hsa-miR-6802-3p","hsa-miR-412-3p","hsa-miR-1253","","",""
"ZNF445","0.000911","0.539","0.113","4","hsa-miR-7703","hsa-miR-6802-3p","hsa-miR-371b-5p","hsa-miR-1253","","",""
"CFHR3","0.00301","0.585","0.0431","2","hsa-miR-5585-3p","hsa-miR-7151-5p","","","","",""
"EBF4","0.00301","0.585","0.0431","2","hsa-miR-3130-3p","hsa-miR-7151-5p","","","","",""
"KCNJ12","0.00306","0.585","0.101","3","hsa-miR-6802-3p","hsa-miR-412-3p","hsa-miR-4722-3p","","","",""
"KDELR1","0.00166","0.585","0.223","6","hsa-miR-1227-5p","hsa-miR-3130-3p","hsa-miR-5585-3p","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-6802-3p",""
"KLHL36","0.00154","0.585","0.177","5","hsa-miR-218-2-3p","hsa-miR-5587-5p","hsa-miR-371b-5p","hsa-miR-7854-3p","hsa-miR-4722-3p","",""
"MAPK8","0.00307","0.585","0.156","4","hsa-miR-4524b-5p","hsa-miR-7703","hsa-miR-371b-5p","hsa-miR-4282","","",""
